"coef","se","t_stat","prob","low_lim","up_lim","variable","dep_var","city_val"
-0.1374,0.0353,-3.8939,0.0001,-0.2066,-0.0682,"(Intercept)","Park_trip_pct","Houston"
-0.1081,0.0771,-1.4026,0.1611,-0.2591,0.043,"grp1","Park_trip_pct","Houston"
0.6432,0.0828,7.77,0,0.481,0.8055,"grp3","Park_trip_pct","Houston"
-0.0001,0.0599,-0.0011,0.9991,-0.1175,0.1174,"jobs","Park_trip_pct","Houston"
-0.0736,0.0407,-1.8113,0.0704,-0.1533,0.006,"walk_score","Park_trip_pct","Houston"
-0.0602,0.0322,-1.8671,0.0622,-0.1234,0.003,"pct_dem","Park_trip_pct","Houston"
-0.1501,0.1415,-1.061,0.289,-0.4275,0.1272,"grp1:jobs","Park_trip_pct","Houston"
-0.1135,0.0924,-1.2276,0.2199,-0.2946,0.0677,"grp3:jobs","Park_trip_pct","Houston"
0.0263,0.0761,0.3454,0.7299,-0.1229,0.1755,"grp1:walk_score","Park_trip_pct","Houston"
0.2806,0.077,3.6438,0.0003,0.1297,0.4316,"grp3:walk_score","Park_trip_pct","Houston"
0.0355,0.0412,0.8608,0.3896,-0.0453,0.1164,"(Intercept)","Retail_trip_pct","Houston"
-0.2856,0.0901,-3.1703,0.0016,-0.4622,-0.109,"grp1","Retail_trip_pct","Houston"
0.084,0.0968,0.8677,0.3858,-0.1057,0.2736,"grp3","Retail_trip_pct","Houston"
0.0986,0.07,1.4083,0.1594,-0.0386,0.2359,"jobs","Retail_trip_pct","Houston"
-0.1277,0.0475,-2.6877,0.0073,-0.2209,-0.0346,"walk_score","Retail_trip_pct","Houston"
0.0008,0.0377,0.0205,0.9836,-0.0731,0.0747,"pct_dem","Retail_trip_pct","Houston"
-0.0769,0.1654,-0.465,0.6421,-0.4011,0.2473,"grp1:jobs","Retail_trip_pct","Houston"
-0.0432,0.108,-0.3994,0.6897,-0.2549,0.1686,"grp3:jobs","Retail_trip_pct","Houston"
0.008,0.089,0.0903,0.9281,-0.1664,0.1824,"grp1:walk_score","Retail_trip_pct","Houston"
0.1578,0.09,1.7529,0.08,-0.0186,0.3342,"grp3:walk_score","Retail_trip_pct","Houston"
-0.0283,0.041,-0.6899,0.4905,-0.1085,0.052,"(Intercept)","Health_trip_pct","Houston"
0.1139,0.0894,1.2738,0.2031,-0.0614,0.2893,"grp1","Health_trip_pct","Houston"
-0.009,0.0961,-0.0934,0.9256,-0.1973,0.1793,"grp3","Health_trip_pct","Houston"
0.0873,0.0695,1.2559,0.2095,-0.049,0.2237,"jobs","Health_trip_pct","Houston"
-0.0039,0.0472,-0.0833,0.9337,-0.0964,0.0886,"walk_score","Health_trip_pct","Houston"
-0.1444,0.0374,-3.8593,0.0001,-0.2178,-0.0711,"pct_dem","Health_trip_pct","Houston"
0.0342,0.1642,0.2081,0.8352,-0.2877,0.3561,"grp1:jobs","Health_trip_pct","Houston"
0.075,0.1073,0.6989,0.4848,-0.1353,0.2852,"grp3:jobs","Health_trip_pct","Houston"
0.0307,0.0884,0.3477,0.7281,-0.1425,0.2039,"grp1:walk_score","Health_trip_pct","Houston"
0.0492,0.0894,0.5509,0.5818,-0.1259,0.2244,"grp3:walk_score","Health_trip_pct","Houston"
-0.0531,0.0204,-2.5976,0.0094,-0.0932,-0.013,"(Intercept)","Trip_length","Los Angeles"
0.4945,0.0448,11.034,0,0.4066,0.5823,"grp1","Trip_length","Los Angeles"
-0.3594,0.0409,-8.7826,0,-0.4397,-0.2792,"grp3","Trip_length","Los Angeles"
-0.0935,0.0341,-2.7454,0.0061,-0.1603,-0.0268,"jobs","Trip_length","Los Angeles"
0.0521,0.0233,2.2402,0.0252,0.0065,0.0977,"walk_score","Trip_length","Los Angeles"
-0.0004,0.0179,-0.0223,0.9822,-0.0354,0.0346,"pct_dem","Trip_length","Los Angeles"
0.1656,0.0775,2.1359,0.0328,0.0136,0.3176,"grp1:jobs","Trip_length","Los Angeles"
0.17,0.0662,2.5699,0.0102,0.0403,0.2997,"grp3:jobs","Trip_length","Los Angeles"
-0.0151,0.0621,-0.2433,0.8078,-0.1369,0.1066,"grp1:walk_score","Trip_length","Los Angeles"
-0.1414,0.0367,-3.8519,0.0001,-0.2133,-0.0694,"grp3:walk_score","Trip_length","Los Angeles"
0.0683,0.0199,3.4321,0.0006,0.0293,0.1073,"(Intercept)","Dest_count","Los Angeles"
0.0361,0.0436,0.8284,0.4075,-0.0494,0.1217,"grp1","Dest_count","Los Angeles"
-0.4589,0.0398,-11.5166,0,-0.537,-0.3808,"grp3","Dest_count","Los Angeles"
-0.1964,0.0332,-5.9221,0,-0.2614,-0.1314,"jobs","Dest_count","Los Angeles"
-0.1157,0.0226,-5.1101,0,-0.1601,-0.0713,"walk_score","Dest_count","Los Angeles"
-0.3418,0.0174,-19.6522,0,-0.3759,-0.3077,"pct_dem","Dest_count","Los Angeles"
0.0939,0.0755,1.2443,0.2135,-0.054,0.2419,"grp1:jobs","Dest_count","Los Angeles"
0.0462,0.0644,0.7172,0.4733,-0.0801,0.1725,"grp3:jobs","Dest_count","Los Angeles"
-0.0194,0.0605,-0.3206,0.7486,-0.1379,0.0992,"grp1:walk_score","Dest_count","Los Angeles"
-0.0012,0.0357,-0.034,0.9729,-0.0713,0.0688,"grp3:walk_score","Dest_count","Los Angeles"
-0.1152,0.0199,-5.7957,0,-0.1542,-0.0763,"(Intercept)","Park_trip_pct","Los Angeles"
-0.2038,0.0436,-4.6772,0,-0.2892,-0.1184,"grp1","Park_trip_pct","Los Angeles"
0.6566,0.0398,16.4932,0,0.5786,0.7347,"grp3","Park_trip_pct","Los Angeles"
0.0885,0.0331,2.6721,0.0076,0.0236,0.1534,"jobs","Park_trip_pct","Los Angeles"
-0.1042,0.0226,-4.6105,0,-0.1485,-0.0599,"walk_score","Park_trip_pct","Los Angeles"
-0.0099,0.0174,-0.5724,0.5671,-0.044,0.0241,"pct_dem","Park_trip_pct","Los Angeles"
-0.1239,0.0754,-1.6432,0.1004,-0.2717,0.0239,"grp1:jobs","Park_trip_pct","Los Angeles"
-0.0462,0.0643,-0.7176,0.4731,-0.1722,0.0799,"grp3:jobs","Park_trip_pct","Los Angeles"
0.1754,0.0604,2.9039,0.0037,0.057,0.2938,"grp1:walk_score","Park_trip_pct","Los Angeles"
-0.0966,0.0358,-2.7009,0.007,-0.1667,-0.0265,"grp3:walk_score","Park_trip_pct","Los Angeles"
-0.0612,0.0231,-2.651,0.0081,-0.1064,-0.0159,"(Intercept)","Retail_trip_pct","Los Angeles"
-0.0074,0.0506,-0.1472,0.883,-0.1065,0.0917,"grp1","Retail_trip_pct","Los Angeles"
0.3238,0.0462,7.0092,0,0.2333,0.4144,"grp3","Retail_trip_pct","Los Angeles"
-0.034,0.0384,-0.8849,0.3763,-0.1094,0.0413,"jobs","Retail_trip_pct","Los Angeles"
0.0828,0.0262,3.1566,0.0016,0.0314,0.1342,"walk_score","Retail_trip_pct","Los Angeles"
0.0526,0.0202,2.612,0.009,0.0131,0.0921,"pct_dem","Retail_trip_pct","Los Angeles"
-0.0326,0.0875,-0.3726,0.7095,-0.2041,0.1389,"grp1:jobs","Retail_trip_pct","Los Angeles"
-0.0353,0.0747,-0.4729,0.6363,-0.1816,0.111,"grp3:jobs","Retail_trip_pct","Los Angeles"
-0.2588,0.0701,-3.6919,0.0002,-0.3961,-0.1214,"grp1:walk_score","Retail_trip_pct","Los Angeles"
0.0832,0.0415,2.0035,0.0452,0.0018,0.1645,"grp3:walk_score","Retail_trip_pct","Los Angeles"
-0.0452,0.0206,-2.1871,0.0288,-0.0856,-0.0047,"(Intercept)","Health_trip_pct","Los Angeles"
-0.1862,0.0453,-4.1154,0,-0.2749,-0.0975,"grp1","Health_trip_pct","Los Angeles"
0.2785,0.0413,6.7355,0,0.1975,0.3595,"grp3","Health_trip_pct","Los Angeles"
0.0119,0.0344,0.3465,0.729,-0.0555,0.0793,"jobs","Health_trip_pct","Los Angeles"
0.0209,0.0235,0.8887,0.3742,-0.0252,0.0669,"walk_score","Health_trip_pct","Los Angeles"
0.0795,0.018,4.4074,0,0.0441,0.1148,"pct_dem","Health_trip_pct","Los Angeles"
0.0092,0.0783,0.1176,0.9064,-0.1443,0.1627,"grp1:jobs","Health_trip_pct","Los Angeles"
0.014,0.0668,0.2101,0.8336,-0.1169,0.145,"grp3:jobs","Health_trip_pct","Los Angeles"
0.1415,0.0627,2.2558,0.0242,0.0186,0.2644,"grp1:walk_score","Health_trip_pct","Los Angeles"
0.005,0.0371,0.1346,0.8929,-0.0678,0.0778,"grp3:walk_score","Health_trip_pct","Los Angeles"
0.0069,0.0353,0.196,0.8447,-0.0623,0.0762,"(Intercept)","Trip_length","Philadelphia"
0.4692,0.071,6.6096,0,0.33,0.6083,"grp1","Trip_length","Philadelphia"
-0.5202,0.0717,-7.2582,0,-0.6607,-0.3798,"grp3","Trip_length","Philadelphia"
0.1265,0.0586,2.1595,0.031,0.0117,0.2413,"jobs","Trip_length","Philadelphia"
0.0459,0.0413,1.1118,0.2665,-0.035,0.1269,"walk_score","Trip_length","Philadelphia"
-0.0953,0.0293,-3.2496,0.0012,-0.1528,-0.0378,"pct_dem","Trip_length","Philadelphia"
-0.0535,0.1021,-0.5233,0.6008,-0.2536,0.1467,"grp1:jobs","Trip_length","Philadelphia"
-0.0211,0.0852,-0.2476,0.8045,-0.1881,0.1459,"grp3:jobs","Trip_length","Philadelphia"
0.0294,0.1119,0.2625,0.7929,-0.19,0.2488,"grp1:walk_score","Trip_length","Philadelphia"
-0.0703,0.0659,-1.0665,0.2864,-0.1995,0.0589,"grp3:walk_score","Trip_length","Philadelphia"
-0.0151,0.0323,-0.4681,0.6398,-0.0784,0.0482,"(Intercept)","Dest_count","Philadelphia"
0.2939,0.0649,4.5309,0,0.1668,0.421,"grp1","Dest_count","Philadelphia"
-0.2886,0.0655,-4.4068,0,-0.417,-0.1603,"grp3","Dest_count","Philadelphia"
-0.1631,0.0535,-3.0464,0.0024,-0.268,-0.0582,"jobs","Dest_count","Philadelphia"
-0.1605,0.0377,-4.2529,0,-0.2345,-0.0866,"walk_score","Dest_count","Philadelphia"
-0.2673,0.0268,-9.9724,0,-0.3198,-0.2148,"pct_dem","Dest_count","Philadelphia"
0.1255,0.0933,1.3443,0.1791,-0.0575,0.3084,"grp1:jobs","Dest_count","Philadelphia"
0.0627,0.0779,0.8047,0.4212,-0.09,0.2153,"grp3:jobs","Dest_count","Philadelphia"
0.1006,0.1023,0.984,0.3253,-0.0998,0.3011,"grp1:walk_score","Dest_count","Philadelphia"
-0.1679,0.0602,-2.7873,0.0054,-0.286,-0.0498,"grp3:walk_score","Dest_count","Philadelphia"
-0.0493,0.0358,-1.3801,0.1678,-0.1194,0.0207,"(Intercept)","Park_trip_pct","Philadelphia"
-0.1153,0.0719,-1.6044,0.1089,-0.2561,0.0256,"grp1","Park_trip_pct","Philadelphia"
0.3155,0.0726,4.3481,0,0.1733,0.4577,"grp3","Park_trip_pct","Philadelphia"
-0.0217,0.0593,-0.3659,0.7145,-0.1379,0.0945,"jobs","Park_trip_pct","Philadelphia"
-0.1422,0.0418,-3.4006,0.0007,-0.2242,-0.0602,"walk_score","Park_trip_pct","Philadelphia"
-0.0487,0.0297,-1.6387,0.1015,-0.1069,0.0095,"pct_dem","Park_trip_pct","Philadelphia"
-0.1914,0.1034,-1.8508,0.0645,-0.394,0.0113,"grp1:jobs","Park_trip_pct","Philadelphia"
0.026,0.0863,0.3012,0.7633,-0.1431,0.195,"grp3:jobs","Park_trip_pct","Philadelphia"
0.1937,0.1133,1.7094,0.0876,-0.0284,0.4157,"grp1:walk_score","Park_trip_pct","Philadelphia"
0.1418,0.0667,2.1239,0.0339,0.0109,0.2726,"grp3:walk_score","Park_trip_pct","Philadelphia"
-0.0903,0.0382,-2.3656,0.0182,-0.1651,-0.0155,"(Intercept)","Retail_trip_pct","Philadelphia"
0.2973,0.0767,3.8765,0.0001,0.147,0.4476,"grp1","Retail_trip_pct","Philadelphia"
0.0374,0.0774,0.4829,0.6292,-0.1144,0.1892,"grp3","Retail_trip_pct","Philadelphia"
-0.1571,0.0633,-2.4824,0.0132,-0.2811,-0.0331,"jobs","Retail_trip_pct","Philadelphia"
-0.0209,0.0446,-0.4673,0.6404,-0.1083,0.0666,"walk_score","Retail_trip_pct","Philadelphia"
-0.0586,0.0317,-1.8499,0.0646,-0.1207,0.0035,"pct_dem","Retail_trip_pct","Philadelphia"
0.1733,0.1103,1.5706,0.1166,-0.043,0.3896,"grp1:jobs","Retail_trip_pct","Philadelphia"
0.1228,0.0921,1.3342,0.1824,-0.0576,0.3032,"grp3:jobs","Retail_trip_pct","Philadelphia"
-0.0098,0.1209,-0.0809,0.9355,-0.2468,0.2272,"grp1:walk_score","Retail_trip_pct","Philadelphia"
0.0988,0.0712,1.3866,0.1658,-0.0408,0.2384,"grp3:walk_score","Retail_trip_pct","Philadelphia"
0.0112,0.0347,0.3221,0.7474,-0.0568,0.0791,"(Intercept)","Health_trip_pct","Philadelphia"
-0.1772,0.0696,-2.5441,0.0111,-0.3137,-0.0407,"grp1","Health_trip_pct","Philadelphia"
0.0693,0.0703,0.986,0.3244,-0.0685,0.2072,"grp3","Health_trip_pct","Philadelphia"
0.1585,0.0575,2.7578,0.0059,0.0458,0.2711,"jobs","Health_trip_pct","Philadelphia"
0.0302,0.0405,0.7461,0.4558,-0.0492,0.1097,"walk_score","Health_trip_pct","Philadelphia"
0.0189,0.0288,0.6572,0.5112,-0.0375,0.0753,"pct_dem","Health_trip_pct","Philadelphia"
-0.0985,0.1002,-0.9826,0.326,-0.2949,0.0979,"grp1:jobs","Health_trip_pct","Philadelphia"
-0.0552,0.0836,-0.6603,0.5092,-0.219,0.1086,"grp3:jobs","Health_trip_pct","Philadelphia"
0.0406,0.1098,0.37,0.7115,-0.1746,0.2559,"grp1:walk_score","Health_trip_pct","Philadelphia"
-0.0229,0.0647,-0.3536,0.7237,-0.1497,0.1039,"grp3:walk_score","Health_trip_pct","Philadelphia"
-0.022,0.0558,-0.394,0.6937,-0.1314,0.0874,"(Intercept)","Trip_length","Seattle"
0.1466,0.1202,1.2194,0.2233,-0.089,0.3822,"grp1","Trip_length","Seattle"
-0.0371,0.125,-0.297,0.7666,-0.2821,0.2078,"grp3","Trip_length","Seattle"
0.4919,0.0776,6.3361,0,0.3398,0.6441,"jobs","Trip_length","Seattle"
-0.218,0.0621,-3.5133,0.0005,-0.3396,-0.0964,"walk_score","Trip_length","Seattle"
0.0188,0.0521,0.3612,0.7181,-0.0834,0.121,"pct_dem","Trip_length","Seattle"
-0.2223,0.1383,-1.6069,0.1088,-0.4935,0.0488,"grp1:jobs","Trip_length","Seattle"
0.0998,0.185,0.5397,0.5897,-0.2628,0.4624,"grp3:jobs","Trip_length","Seattle"
0.081,0.1154,0.7021,0.483,-0.1451,0.3071,"grp1:walk_score","Trip_length","Seattle"
0.0383,0.1474,0.2597,0.7952,-0.2506,0.3271,"grp3:walk_score","Trip_length","Seattle"
0.03,0.0555,0.541,0.5888,-0.0788,0.1388,"(Intercept)","Dest_count","Seattle"
0.1025,0.1195,0.8573,0.3918,-0.1318,0.3367,"grp1","Dest_count","Seattle"
-0.3458,0.1242,-2.7834,0.0056,-0.5894,-0.1023,"grp3","Dest_count","Seattle"
-0.0806,0.0772,-1.0436,0.2972,-0.2318,0.0707,"jobs","Dest_count","Seattle"
-0.2011,0.0617,-3.2594,0.0012,-0.322,-0.0802,"walk_score","Dest_count","Seattle"
-0.1234,0.0518,-2.3801,0.0177,-0.225,-0.0218,"pct_dem","Dest_count","Seattle"
-0.1834,0.1375,-1.3334,0.1831,-0.453,0.0862,"grp1:jobs","Dest_count","Seattle"
-0.0103,0.1839,-0.0563,0.9552,-0.3708,0.3501,"grp3:jobs","Dest_count","Seattle"
0.1372,0.1147,1.1963,0.2322,-0.0876,0.362,"grp1:walk_score","Dest_count","Seattle"
0.076,0.1465,0.5189,0.6041,-0.2112,0.3632,"grp3:walk_score","Dest_count","Seattle"
0.0273,0.0588,0.4631,0.6435,-0.0881,0.1426,"(Intercept)","Park_trip_pct","Seattle"
-0.2281,0.1267,-1.8001,0.0725,-0.4764,0.0203,"grp1","Park_trip_pct","Seattle"
0.075,0.1317,0.5697,0.5692,-0.1831,0.3332,"grp3","Park_trip_pct","Seattle"
0.3178,0.0818,3.8839,0.0001,0.1574,0.4782,"jobs","Park_trip_pct","Seattle"
-0.107,0.0654,-1.6357,0.1026,-0.2352,0.0212,"walk_score","Park_trip_pct","Seattle"
-0.043,0.055,-0.7819,0.4347,-0.1507,0.0647,"pct_dem","Park_trip_pct","Seattle"
-0.1525,0.1458,-1.046,0.2961,-0.4383,0.1333,"grp1:jobs","Park_trip_pct","Seattle"
0.0034,0.195,0.0172,0.9863,-0.3788,0.3855,"grp3:jobs","Park_trip_pct","Seattle"
0.105,0.1216,0.8639,0.3881,-0.1333,0.3433,"grp1:walk_score","Park_trip_pct","Seattle"
0.1025,0.1553,0.6596,0.5098,-0.202,0.4069,"grp3:walk_score","Park_trip_pct","Seattle"
0.0064,0.0597,0.1074,0.9145,-0.1105,0.1233,"(Intercept)","Retail_trip_pct","Seattle"
0.1025,0.1284,0.7982,0.4251,-0.1492,0.3543,"grp1","Retail_trip_pct","Seattle"
-0.2145,0.1335,-1.6068,0.1088,-0.4763,0.0472,"grp3","Retail_trip_pct","Seattle"
-0.2498,0.083,-3.0116,0.0027,-0.4124,-0.0872,"jobs","Retail_trip_pct","Seattle"
0.042,0.0663,0.6335,0.5267,-0.0879,0.1719,"walk_score","Retail_trip_pct","Seattle"
0.0174,0.0557,0.3127,0.7547,-0.0918,0.1266,"pct_dem","Retail_trip_pct","Seattle"
0.0565,0.1478,0.3824,0.7024,-0.2332,0.3462,"grp1:jobs","Retail_trip_pct","Seattle"
0.1147,0.1977,0.5805,0.5619,-0.2727,0.5021,"grp3:jobs","Retail_trip_pct","Seattle"
-0.1301,0.1233,-1.0553,0.2918,-0.3716,0.1115,"grp1:walk_score","Retail_trip_pct","Seattle"
0.0647,0.1575,0.411,0.6812,-0.2439,0.3734,"grp3:walk_score","Retail_trip_pct","Seattle"
-0.0267,0.0542,-0.4921,0.6229,-0.133,0.0796,"(Intercept)","Health_trip_pct","Seattle"
-0.006,0.1168,-0.0517,0.9588,-0.2349,0.2228,"grp1","Health_trip_pct","Seattle"
0.034,0.1214,0.28,0.7796,-0.2039,0.2719,"grp3","Health_trip_pct","Seattle"
0.0599,0.0754,0.7943,0.4274,-0.0879,0.2077,"jobs","Health_trip_pct","Seattle"
0.027,0.0603,0.4488,0.6538,-0.0911,0.1452,"walk_score","Health_trip_pct","Seattle"
-0.038,0.0506,-0.7512,0.4529,-0.1373,0.0612,"pct_dem","Health_trip_pct","Seattle"
0.2578,0.1344,1.919,0.0556,-0.0055,0.5212,"grp1:jobs","Health_trip_pct","Seattle"
-0.1433,0.1797,-0.7978,0.4254,-0.4955,0.2088,"grp3:jobs","Health_trip_pct","Seattle"
-0.0991,0.112,-0.8845,0.3769,-0.3187,0.1205,"grp1:walk_score","Health_trip_pct","Seattle"
0.1124,0.1431,0.7853,0.4327,-0.1682,0.393,"grp3:walk_score","Health_trip_pct","Seattle"
-0.0369,0.0606,-0.6088,0.5431,-0.1557,0.0819,"(Intercept)","Trip_length","St. Louis"
0.2104,0.142,1.4812,0.1396,-0.068,0.4888,"grp1","Trip_length","St. Louis"
-0.2972,0.1294,-2.2971,0.0223,-0.5507,-0.0436,"grp3","Trip_length","St. Louis"
-0.1995,0.0917,-2.1756,0.0303,-0.3792,-0.0198,"jobs","Trip_length","St. Louis"
-0.0069,0.0595,-0.1157,0.908,-0.1235,0.1098,"walk_score","Trip_length","St. Louis"
0.2157,0.055,3.9252,0.0001,0.108,0.3235,"pct_dem","Trip_length","St. Louis"
0.2764,0.1655,1.6703,0.0958,-0.0479,0.6008,"grp1:jobs","Trip_length","St. Louis"
0.3701,0.1661,2.2275,0.0266,0.0444,0.6957,"grp3:jobs","Trip_length","St. Louis"
-0.1742,0.1407,-1.2378,0.2167,-0.4501,0.1016,"grp1:walk_score","Trip_length","St. Louis"
0.077,0.1342,0.5738,0.5665,-0.186,0.3399,"grp3:walk_score","Trip_length","St. Louis"
-0.078,0.0639,-1.2211,0.223,-0.2033,0.0472,"(Intercept)","Dest_count","St. Louis"
0.4697,0.1498,3.1357,0.0019,0.1761,0.7633,"grp1","Dest_count","St. Louis"
-0.3295,0.1364,-2.4153,0.0163,-0.5969,-0.0621,"grp3","Dest_count","St. Louis"
-0.123,0.0967,-1.2722,0.2043,-0.3125,0.0665,"jobs","Dest_count","St. Louis"
-0.1386,0.0628,-2.2077,0.028,-0.2616,-0.0155,"walk_score","Dest_count","St. Louis"
-0.0828,0.058,-1.4282,0.1542,-0.1964,0.0308,"pct_dem","Dest_count","St. Louis"
0.0165,0.1745,0.0946,0.9247,-0.3256,0.3586,"grp1:jobs","Dest_count","St. Louis"
0.0661,0.1752,0.3772,0.7063,-0.2773,0.4095,"grp3:jobs","Dest_count","St. Louis"
-0.2697,0.1484,-1.8168,0.0702,-0.5606,0.0212,"grp1:walk_score","Dest_count","St. Louis"
0.073,0.1415,0.5156,0.6065,-0.2044,0.3503,"grp3:walk_score","Dest_count","St. Louis"
-0.0233,0.0652,-0.3567,0.7216,-0.1511,0.1046,"(Intercept)","Park_trip_pct","St. Louis"
-0.1246,0.1529,-0.8146,0.4159,-0.4243,0.1751,"grp1","Park_trip_pct","St. Louis"
0.2909,0.1393,2.0888,0.0375,0.0179,0.5639,"grp3","Park_trip_pct","St. Louis"
0.18,0.0987,1.8235,0.0692,-0.0135,0.3735,"jobs","Park_trip_pct","St. Louis"
-0.026,0.0641,-0.4064,0.6847,-0.1516,0.0995,"walk_score","Park_trip_pct","St. Louis"
0.093,0.0592,1.5723,0.1169,-0.0229,0.209,"pct_dem","Park_trip_pct","St. Louis"
-0.208,0.1782,-1.1675,0.2439,-0.5572,0.1412,"grp1:jobs","Park_trip_pct","St. Louis"
-0.173,0.1789,-0.967,0.3343,-0.5236,0.1776,"grp3:jobs","Park_trip_pct","St. Louis"
0.1203,0.1515,0.7941,0.4277,-0.1767,0.4173,"grp1:walk_score","Park_trip_pct","St. Louis"
0.0742,0.1444,0.5137,0.6078,-0.2089,0.3573,"grp3:walk_score","Park_trip_pct","St. Louis"
-0.0775,0.0637,-1.2175,0.2243,-0.2023,0.0473,"(Intercept)","Retail_trip_pct","St. Louis"
0.4425,0.1492,2.9655,0.0033,0.15,0.735,"grp1","Retail_trip_pct","St. Louis"
-0.1268,0.1359,-0.933,0.3515,-0.3932,0.1396,"grp3","Retail_trip_pct","St. Louis"
-0.0372,0.0963,-0.3862,0.6996,-0.226,0.1516,"jobs","Retail_trip_pct","St. Louis"
0.0081,0.0625,0.1295,0.897,-0.1145,0.1307,"walk_score","Retail_trip_pct","St. Louis"
0.0779,0.0577,1.3484,0.1785,-0.0353,0.191,"pct_dem","Retail_trip_pct","St. Louis"
0.0332,0.1739,0.1907,0.8489,-0.3076,0.374,"grp1:jobs","Retail_trip_pct","St. Louis"
0.0385,0.1746,0.2207,0.8255,-0.3036,0.3807,"grp3:jobs","Retail_trip_pct","St. Louis"
-0.1637,0.1479,-1.1069,0.2692,-0.4535,0.1261,"grp1:walk_score","Retail_trip_pct","St. Louis"
-0.1161,0.141,-0.8234,0.4109,-0.3923,0.1602,"grp3:walk_score","Retail_trip_pct","St. Louis"
0.1471,0.0648,2.2715,0.0238,0.0202,0.274,"(Intercept)","Health_trip_pct","St. Louis"
-0.5526,0.1518,-3.6407,0.0003,-0.85,-0.2551,"grp1","Health_trip_pct","St. Louis"
-0.0524,0.1382,-0.3787,0.7052,-0.3233,0.2186,"grp3","Health_trip_pct","St. Louis"
-0.0543,0.098,-0.5539,0.58,-0.2463,0.1378,"jobs","Health_trip_pct","St. Louis"
-0.009,0.0636,-0.1423,0.887,-0.1337,0.1156,"walk_score","Health_trip_pct","St. Louis"
-0.0257,0.0587,-0.437,0.6624,-0.1408,0.0894,"pct_dem","Health_trip_pct","St. Louis"
0.1928,0.1768,1.09,0.2765,-0.1538,0.5394,"grp1:jobs","Health_trip_pct","St. Louis"
0.2034,0.1775,1.1458,0.2528,-0.1446,0.5514,"grp3:jobs","Health_trip_pct","St. Louis"
0.0648,0.1504,0.4306,0.6671,-0.23,0.3595,"grp1:walk_score","Health_trip_pct","St. Louis"
-0.0386,0.1434,-0.2694,0.7878,-0.3196,0.2424,"grp3:walk_score","Health_trip_pct","St. Louis"
